web-scraper-order,web-scraper-start-url,procesor,procesor-href,Nazwa,Socket,Image-src,Frequency,Cache,Cores,Cena
"1697884150-21","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702225-procesor-intel-core-i7-intel-core-i7-12700.html","Intel Core i7-12700","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_40_42_356_00.jpg","2.1 GHz","25 MB","12 rdzeni","1 629,00 zł"
"1697884154-22","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101210-procesor-intel-core-i9-intel-core-i9-13900.html","Intel Core i9-13900","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_8_54_36_70_01.jpg","2.0 GHz","36 MB","24 rdzenie","2 999,00 zł"
"1697884157-23","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/564470-procesor-intel-core-i3-intel-core-i3-10100.html","Intel Core i3-10100","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_16_8_32_905_00.jpg","3.6 GHz","6 MB","4 rdzenie","519,00 zł"
"1697884161-24","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626760-procesor-intel-core-i7-intel-core-i7-11700.html","Intel Core i7-11700","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_10_21_5_778_00.jpg","2.5 GHz","16 MB","8 rdzeni","1 399,00 zł"
"1697884165-25","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626759-procesor-intel-core-i7-intel-core-i7-11700k.html","Intel Core i7-11700K","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_10_17_21_931_01.jpg","3.6 GHz","16 MB","8 rdzeni","1 499,00 zł"
"1697884169-26","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179923-procesory-intel-core-i5-intel-core-i5-14600k.html","Intel Core i5-14600K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_9_30_38_189_00.jpg","3.5 GHz","24 MB","14 rdzeni","1 649,00 zł"
"1697884173-27","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/638657-procesor-intel-core-i3-intel-core-i3-10105.html","Intel Core i3-10105","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_14_49_52_428_00.jpg","3.7 GHz","6 MB","4 rdzenie","499,00 zł"
"1697884177-28","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101181-procesor-intel-core-i3-intel-core-i3-13100.html","Intel Core i3-13100","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_9_0_26_52_02.jpg","3.4 GHz","12 MB","4 rdzenie","749,00 zł"
"1697884180-29","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1117009-procesor-amd-ryzen-9-amd-ryzen-9-7900x3d.html","AMD Ryzen 9 7900X3D","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_24_14_19_6_20_00.jpg","4.4 GHz","140 MB","12 rdzeni","2 549,00 zł"
"1697884184-30","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101211-procesor-intel-core-i9-intel-core-i9-13900ks.html","Intel Core i9-13900KS","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_13_8_33_28_2_00.jpg","3.2 GHz","36 MB","24 rdzenie","3 699,00 zł"
"1697884188-31","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626748-procesory-intel-core-i5-intel-core-i5-11400.html","Intel Core i5-11400","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_9_54_57_565_00.jpg","2.6 GHz","12 MB","6 rdzeni","739,00 zł"
"1697884192-32","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101198-procesory-intel-core-i5-intel-core-i5-13400.html","Intel Core i5-13400","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_8_18_54_246_02.jpg","2.5 GHz","20 MB","10 rdzeni","1 229,00 zł"
"1697884196-33","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/638664-procesor-intel-core-i3-intel-core-i3-10105f.html","Intel Core i3-10105F","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_14_49_52_428_00.jpg","3.7 GHz","6 MB","4 rdzenie","329,00 zł"
"1697884200-34","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101208-procesor-intel-core-i7-intel-core-i7-13700.html","Intel Core i7-13700","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_8_45_49_660_00.jpg","2.1 GHz","30 MB","16 rdzeni","1 999,00 zł"
"1697884203-35","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1105317-procesor-amd-ryzen-9-amd-ryzen-9-7900.html","AMD Ryzen 9 7900","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_10_12_0_48_797_00.jpg","3.7 GHz","76 MB","12 rdzeni","2 029,00 zł"
"1697884207-36","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/724253-procesor-intel-core-i9-intel-core-i9-12900ks.html","Intel Core i9-12900KS","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_28_11_51_57_833_00.jpg","3.4 GHz","30 MB","16 rdzeni","2 599,00 zł"
