web-scraper-order,web-scraper-start-url,procesor,procesor-href,Nazwa,Socket,Image-src,Frequency,Cache,Cores,Cena
"1697884325-68","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689604-procesor-intel-core-i7-intel-core-i7-12700kf.html","Intel Core i7-12700KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_40_0_88_00.jpg","3.6 GHz","25 MB","12 rdzeni","1 449,00 zł"
"1697884329-69","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689638-procesory-intel-core-i5-intel-core-i5-12600kf.html","Intel Core i5-12600KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_44_49_855_00.jpg","3.7 GHz","20 MB","10 rdzeni","1 099,00 zł"
"1697884333-70","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689598-procesory-intel-core-i5-intel-core-i5-12600k.html","Intel Core i5-12600K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_31_43_884_00.jpg","3.7 GHz","20 MB","10 rdzeni","1 199,00 zł"
"1697884336-71","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702244-procesor-intel-core-i3-intel-core-i3-12100f.html","Intel Core i3-12100F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_29_13_571_00.jpg","3.3 GHz","12 MB","4 rdzenie","429,00 zł"
"1697884339-72","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1105320-procesor-amd-ryzen-5-amd-ryzen-5-7600.html","AMD Ryzen 5 7600","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_10_11_49_33_369_00.jpg","3.8 GHz","38 MB","6 rdzeni","1 099,00 zł"
"1697884343-73","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597431-procesor-amd-ryzen-9-amd-ryzen-9-5900x.html","AMD Ryzen 9 5900X","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_9_13_56_59_540_00.jpg","3.7 GHz","70 MB","12 rdzeni","1 499,00 zł"
"1697884346-74","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1073573-procesor-intel-core-i7-intel-core-i7-13700kf.html","Intel Core i7-13700KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_11_59_1_676_00.jpg","3.4 GHz","30 MB","16 rdzeni","1 949,00 zł"
"1697884350-75","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/500085-procesor-amd-ryzen-5-amd-ryzen-5-3600.html","AMD Ryzen 5 3600","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_19_9_27_42_99_00.jpg","3.6 GHz","35 MB","6 rdzeni","399,00 zł"
"1697884354-76","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/636842-procesory-intel-core-i5-intel-core-i5-11400f.html","Intel Core i5-11400F","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_16_17_21_50_504_00.jpg","2.6 GHz","12 MB","6 rdzeni","599,00 zł"
"1697884358-77","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1117011-procesor-amd-ryzen-7-amd-ryzen-7-7800x3d.html","AMD Ryzen 7 7800X3D","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_28_10_12_13_142_00.jpg","4.2 GHz","104 MB","8 rdzeni","1 849,00 zł"
"1697884361-78","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/665219-procesor-amd-ryzen-5-amd-ryzen-5-5600g.html","AMD Ryzen 5 5600G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_4_15_3_7_394_00.jpg","3.9 GHz","19 MB","6 rdzeni","579,00 zł"
"1697884364-79","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1072725-procesor-amd-ryzen-5-amd-ryzen-5-7600x.html","AMD Ryzen 5 7600X","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_25_12_49_50_693_03.jpg","4.7 GHz","38 MB","6 rdzeni","1 149,00 zł"
"1697884368-80","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1048488-procesor-amd-ryzen-5-amd-ryzen-5-3600.html","AMD Ryzen 5 3600","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/6/pr_2022_6_20_11_38_38_466_00.jpg","3.6 GHz","35 MB","6 rdzeni","399,00 zł"
"1697884371-81","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1073570-procesor-intel-core-i7-intel-core-i7-13700k.html","Intel Core i7-13700K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_11_58_46_663_00.jpg","3.4 GHz","30 MB","16 rdzeni","2 099,00 zł"
"1697884375-82","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075053-procesory-intel-core-i5-intel-core-i5-13600k.html","Intel Core i5-13600K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_12_10_57_851_00.jpg","3.5 GHz","24 MB","14 rdzeni","1 549,00 zł"
"1697884379-83","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101195-procesory-intel-core-i5-intel-core-i5-13400f.html","Intel Core i5-13400F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_8_1_22_776_02.jpg","2.5 GHz","20 MB","10 rdzeni","999,00 zł"
"1697884383-84","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735696-procesor-amd-ryzen-5-amd-ryzen-5-5500.html","AMD Ryzen 5 5500","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_13_9_46_828_00.jpg","3.6 GHz","19 MB","6 rdzeni","429,00 zł"
"1697884386-85","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735724-procesor-amd-ryzen-7-amd-ryzen-7-5800x3d.html","AMD Ryzen 7 5800X3D","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_5_15_32_46_110_00.jpg","3.4 GHz","100 MB","8 rdzeni","1 579,00 zł"
"1697884389-86","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101200-procesory-intel-core-i5-intel-core-i5-13500.html","Intel Core i5-13500","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_8_18_54_246_02.jpg","2.5 GHz","24 MB","14 rdzeni","1 199,00 zł"
"1697884392-87","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597430-procesor-amd-ryzen-7-amd-ryzen-7-5800x.html","AMD Ryzen 7 5800X","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_9_13_47_7_306_00.jpg","3.8 GHz","36 MB","8 rdzeni","949,00 zł"
"1697884396-88","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075057-procesory-intel-core-i5-intel-core-i5-13600kf.html","Intel Core i5-13600KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_12_11_20_160_02.jpg","3.5 GHz","24 MB","14 rdzeni","1 499,00 zł"
"1697884399-89","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702238-procesory-intel-core-i5-intel-core-i5-12400f.html","Intel Core i5-12400F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_31_19_942_00.jpg","2.5 GHz","18 MB","6 rdzeni","679,00 zł"
"1697884403-90","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735703-procesor-amd-ryzen-5-amd-ryzen-5-5600.html","AMD Ryzen 5 5600","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_13_1_27_284_00.jpg","3.5 GHz","35 MB","6 rdzeni","629,00 zł"
"1697884406-91","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735718-procesor-amd-ryzen-7-amd-ryzen-7-5700x.html","AMD Ryzen 7 5700X","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_15_16_29_20_759_00.jpg","3.4 GHz","36 MB","8 rdzeni","869,00 zł"
"1697884410-92","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597427-procesor-amd-ryzen-5-amd-ryzen-5-5600x.html","AMD Ryzen 5 5600X","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_9_12_59_29_839_00.jpg","3.7 GHz","35 MB","6 rdzeni","699,00 zł"
