web-scraper-order,web-scraper-start-url,link,link-href,name,cena,chipset,memoery,memorytype,image-src
"1698054337-112","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1177618-karta-graficzna-amd-powercolor-radeon-rx-7800-xt-red-devil-16gb-gddr6.html","PowerColor Radeon RX 7800 XT Red Devil 16GB GDDR6","3 169,00 zł","Radeon™ RX 7800 XT","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_6_13_0_11_808_00.jpg"
"1698054344-113","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/372376-karta-graficzna-nvidia-gigabyte-geforce-gt-1030-oc-2gb-gddr5.html","Gigabyte GeForce GT 1030 OC 2GB GDDR5","469,00 zł","GeForce GT 1030","2 GB","GDDR5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_3_8_7_12_366.png"
"1698054350-114","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075537-karta-graficzna-nvidia-msi-geforce-rtx-4090-gaming-x-trio-24gb-gddr6x.html","MSI GeForce RTX 4090 GAMING X TRIO 24GB GDDR6X","8 999,00 zł","GeForce RTX 4090","24 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_10_13_29_8_931_04.jpg"
"1698054357-115","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1150321-karta-graficzna-amd-xfx-radeon-rx-7600-black-edition-8gb-gddr6.html","XFX Radeon RX 7600 Black Edition 8GB GDDR6","1 429,00 zł","Radeon™ RX 7600","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_15_10_37_42_611_00.jpg"
"1698054364-116","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1162034-karta-graficzna-nvidia-gainward-geforce-rtx-4060-ti-panther-oc-16gb-gddr6.html","Gainward GeForce RTX 4060 Ti Panther OC 16GB GDDR6","2 449,00 zł","GeForce RTX 4060 Ti","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_18_10_36_59_970_00.jpg"
"1698054370-117","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/735531-karta-graficzna-amd-msi-radeon-rx-6650-xt-mech-2x-oc-8gb-gddr6.html","MSI Radeon RX 6650 XT MECH 2X OC 8GB GDDR6","1 369,00 zł","Radeon™ RX 6650 XT","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_11_8_40_46_66_00.jpg"
"1698054377-118","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075867-karta-graficzna-nvidia-gigabyte-geforce-rtx-4090-aorus-xtreme-waterforce-24gb-gddr6x.html","Gigabyte GeForce RTX 4090 Aorus XTREME WATERFORCE 24GB GDDR6X","9 499,00 zł","GeForce RTX 4090","24 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_10_13_9_51_15_06.jpg"
"1698054382-119","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1146617-karta-graficzna-nvidia-gainward-geforce-rtx-4060-ti-pegasus-8gb-gddr6.html","Gainward GeForce RTX 4060 Ti Pegasus 8GB GDDR6","1 949,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_9_4_22_411_00.jpg"
"1698054387-120","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1162038-karta-graficzna-nvidia-msi-geforce-rtx-4060-ti-gaming-x-slim-16gb-gddr6.html","MSI GeForce RTX 4060 Ti Gaming X SLIM 16GB GDDR6","2 699,00 zł","GeForce RTX 4060 Ti","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_18_9_10_19_21_00.jpg"
"1698054392-121","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1085978-karta-graficzna-nvidia-msi-geforce-rtx-4080-ventus-3x-oc-16gb-gddrx.html","MSI GeForce RTX 4080 VENTUS 3X OC 16GB GDDRX","5 999,00 zł","GeForce RTX 4080","16 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_4_21_52_10_577_00.jpg"
"1698054398-122","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1099092-karta-graficzna-amd-gigabyte-radeon-rx-7900-xtx-gaming-oc-24gb-gddr6.html","Gigabyte Radeon RX 7900 XTX GAMING OC 24GB GDDR6","4 999,00 zł","Radeon™ RX 7900 XTX","24 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_11_13_23_29_305_06.jpg"
"1698054404-123","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1151787-karta-graficzna-nvidia-zotac-geforce-rtx-4060-ti-twin-edge-oc-spiderman-8gb-gddr6.html","Zotac GeForce RTX 4060 Ti Twin Edge OC SPIDERMAN 8GB GDDR6","2 099,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_15_11_9_24_933_00.jpg"
"1698054410-124","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1156761-karta-graficzna-nvidia-inno3d-geforce-rtx-4060-compact-8gb-gddr6.html","Inno3D GeForce RTX 4060 COMPACT 8GB GDDR6","1 449,00 zł","GeForce RTX 4060","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_28_9_49_57_25_00.jpg"
