web-scraper-order,web-scraper-start-url,link,link-href,name,price,capacity,interface,readspeed,writespeed,image-src
"1698420686-387","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/511744-dysk-ssd-adata-2tb-m2-pcie-gen4-nvme-gammix-s70-blade.html","ADATA 2TB M.2 PCIe Gen4 NVMe GAMMIX S70 Blade","499,00 zł","2000 GB","PCIe NVMe 4.0 x4","7400 MB/s","6800 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_8_8_3_59_550_02.jpg"
"1698420690-388","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/578861-dysk-ssd-samsung-2tb-25-sata-ssd-870-qvo.html","Samsung 2TB 2,5"" SATA SSD 870 QVO","469,00 zł","2000 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_15_14_13_10_257_03.jpg"
"1698420695-389","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1054327-dysk-ssd-wd-1tb-25-sata-ssd-blue-sa510.html","WD 1TB 2,5"" SATA SSD Blue SA510","299,00 zł","1000 GB","2,5"" SATA","560 MB/s","520 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_6_9_26_22_166_02.jpg"
"1698420700-390","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1053874-dysk-ssd-crucial-1tb-m2-pcie-gen4-nvme-p3-plus.html","Crucial 1TB M.2 PCIe Gen4 NVMe P3 Plus","239,00 zł","1000 GB","PCIe NVMe 4.0 x4","5000 MB/s","3600 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_5_13_46_22_669_00.jpg"
"1698420704-391","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1137176-dysk-ssd-micron-2tb-m2-2230-pcie-gen4-nvme-2400.html","Micron 2TB M.2 2230 PCIe Gen4 NVMe 2400","689,00 zł","2000 GB","PCIe NVMe 4.0 x4","4500 MB/s","4000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_18_10_11_7_713_00.jpg"
"1698420708-392","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/400627-dysk-ssd-crucial-2tb-25-sata-ssd-mx500.html","Crucial 2TB 2,5"" SATA SSD MX500","559,00 zł","2000 GB","2,5"" SATA","560 MB/s","510 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/1/pr_2018_1_3_14_2_15_279_01.jpg"
"1698420713-393","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/634237-dysk-ssd-samsung-500gb-m2-pcie-nvme-980.html","Samsung 500GB M.2 PCIe NVMe 980","179,00 zł","500 GB","PCIe NVMe 3.0 x4","3100 MB/s","2600 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_19_14_6_28_487_00.jpg"
"1698420717-394","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1083717-dysk-ssd-samsung-1tb-m2-pcie-gen4-nvme-990-pro.html","Samsung 1TB M.2 PCIe Gen4 NVMe 990 PRO","439,00 zł","1000 GB","PCIe NVMe 4.0 x4","7450 MB/s","6900 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_20_6_28_39_791_00.jpg"
"1698420722-395","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1135949-dysk-ssd-samsung-1tb-m2-pcie-gen4-nvme-990-pro-heatsink.html","Samsung 1TB M.2 PCIe Gen4 NVMe 990 PRO Heatsink","529,00 zł","1000 GB","PCIe NVMe 4.0 x4","7450 MB/s","6900 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_13_11_15_31_458_05.jpg"
"1698420728-396","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/400623-dysk-ssd-crucial-250gb-25-sata-ssd-mx500.html","Crucial 250GB 2,5"" SATA SSD MX500","143,00 zł","250 GB","2,5"" SATA","560 MB/s","510 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/1/pr_2018_1_3_14_2_15_279_01.jpg"
